no,username,handle,created_date,tweet_text,likes
4281,K. C. Singh,@ambkcsingh,2024-02-22T14:43:58.000Z,"""As per the order of Indian government we are blocking , suspending or withheld some @X accounts, but we do not agree with this, people should have freedom of speech."" @elonmusk #FarmerLivesMatter #FarmersProtestInDelhi #farmersprotests2024 #FarmersProtests",33
4282,Truth Slinger X,@TruthSlingerX,2024-02-21T14:21:51.000Z,See What Modi Govt is Doing #FarmerProtest2024 #HaryanaPolice #FarmersProtestInDelhi #PMQs #FarmersProtests #shamemodiGovt #haryanapolitics #farmersprotests2024 #ShambhuBorder #KisanAndolan2024,50
4283,MaiamDigital,@MaiamDigital,2024-02-21T14:21:51.000Z,See What Modi Govt is Doing #FarmerProtest2024 #HaryanaPolice #FarmersProtestInDelhi #PMQs #FarmersProtests #shamemodiGovt #haryanapolitics #farmersprotests2024 #ShambhuBorder #KisanAndolan2024,50
4284,@PalasAtenea,@PalasAtenea,2024-04-22T04:46:36.000Z,Will Legally Guaranteed Enhanced #MSP Aid Crop Diversification ? #agriculture #FarmersProtests #MSP #swaminathancommission #punjabagriculturaluniversity #nationalsamplesurvey @PAU_LDH,
4285,#kisan #farmerprotest #punjab #farmerprotest2024,@Kisan_support1,2024-02-21T14:21:51.000Z,See What Modi Govt is Doing #FarmerProtest2024 #HaryanaPolice #FarmersProtestInDelhi #PMQs #FarmersProtests #shamemodiGovt #haryanapolitics #farmersprotests2024 #ShambhuBorder #KisanAndolan2024,50
4286,MaiamDigital,@MaiamDigital,2024-02-26T04:41:57.000Z,A man with his kids stuck because of so-called #FarmersProtests. He's begging to allow them to pass but.... It seems this time common people are going to retaIiate...,16K
4287,bhaana sidhu ( ਭਾਨਾ ਸਿੱਧੂ ),@ka25859965,2024-02-23T03:21:18.000Z,Farmers have great importance in our society.They are the ones who provide us food to eat. #FarmerProtest2024 #FarmersProtests,51
4288,Sunita Narain,@sunitanar,2024-02-23T07:16:54.000Z,EU farmers get massive subsidy to grow food; still stressed. #FarmersProtests. We cannot even think of matching this. Then how will Indian agriculture survive in a climate risked world without discounting nature? Time to rethink the way we grow food,33
4289,SUMITH SHARMA,@Sumith_Bhai,2024-02-23T07:16:54.000Z,EU farmers get massive subsidy to grow food; still stressed. #FarmersProtests. We cannot even think of matching this. Then how will Indian agriculture survive in a climate risked world without discounting nature? Time to rethink the way we grow food,33
4290,@PalasAtenea,@PalasAtenea,2024-04-20T15:41:35.000Z,"#EU : #FarmersProtests intensify again in #France : In total, French farmers' protests have been going on for five months. What fake media doesn't tell you..",
