no,username,handle,created_date,tweet_text,likes
3202,Mohit Gahlot (ï,@_MohitGahlot_,2024-02-26T03:30:11.000Z,"When it comes to our land, no matter where in the world we are, we will keep raising our voice for the rights of our farmers. Every voice is necessary. Every hand is necessary. That's why we won, that's why we will win. #FarmersProtest2024",200
3203,Sangha/,@FarmStudiozzz,2024-02-23T01:57:33.000Z,"Farmers are still on Panjabs jurisdiction, @police_haryana entered Panjab to vandalise tractors, ABDUCT and attac",66
3204,unknown_3204,@pragatisingh295,2024-02-21T11:44:48.000Z,20 MONTHS DAY 633 & COUNTING...!! JUSTICE FOR SHUBHDEEP SINGH SIDHU!! @BhagwantMann @AAPPunjab #FarmersProtest2024 #JusticeForSidhuMooseWala,21
3205,Villager Singh,@Villagerz_Singh,2024-02-26T04:36:31.000Z,No legacy is so rich as honesty. #FarmersProtest2024 #JusticeForSidhuMooseWala,119
3206,GKG,@GillysGuidance,2024-02-26T04:36:31.000Z,No legacy is so rich as honesty. #FarmersProtest2024 #JusticeForSidhuMooseWala,119
3207,Gurpreet Kaur,@IGKaurP,2024-03-01T04:14:40.000Z,Gentle reminder!! Farmers are still protesting for MSP. Manipur is still burning. Sanghis are still vandalising While PM dived in the ocean searching lost democracy. He can be spotted dancing in Ambani wedding because they need more drama.,49
3208,Mir Basharat,@Basharatmir16,2024-02-23T23:34:20.000Z,Kindly share #FarmersProtest2024,8
3209,Sheena Sawhney,@SheenaokaWoman,2024-02-28T16:03:52.000Z,How many of you on x supporting #FarmersProtest2024 are facing criticism by families friends and acquaintances. I bet you the nano particles rule the world . Keep the resolve . Keep supporting . Sharing pic of Baba ji who was on my dp last protest - his unwavering support with,261
3210,Vikash Khokhar,@VikashK23838908,2024-02-23T12:53:04.000Z,Lathicharge on peaceful farmers panchaayat in Hisar's Khedi Chopat. @police_haryana also fired tear gas shells and detained many farmers. Farm leader Suresh koth taken away by police. Remain unclear if he was arrested or detained. Dictatorship in Haryana #FarmersProtest2024,159
3211,unknown_3211,@Harvind06739900,2024-02-21T22:54:05.000Z,Its a good decision by the farmer leaders to take a 2 day halt in the #FarmersProtest2024. I still believe that all factions of the,396
3212,Dhillon,@Davinder_777,2024-02-21T09:18:58.000Z,Haryana police still fire tear gas shells to disperse agitating farmers at #Khanauri border in Sangrur district of Punjab. #FarmersProtest #FarmerProtest #FarmersProtest2024 #FarmersProtestInDelhi,67
3213,RANA SANGHA - RoughSeaSailor.,@Sangha2Bs,2024-02-23T01:57:33.000Z,"Farmers are still on Panjabs jurisdiction, @police_haryana entered Panjab to vandalise tractors, ABDUCT and attac",66
3214,Suraj G Naik,@yoursurajnaik,2024-02-28T16:03:52.000Z,How many of you on x supporting #FarmersProtest2024 are facing criticism by families friends and acquaintances. I bet you the nano particles rule the world . Keep the resolve . Keep supporting . Sharing pic of Baba ji who was on my dp last protest - his unwavering support with,261
3215,James Kanter,@jameskanter,2024-02-22T03:11:57.000Z,Raise your voice for our farmers!!!!! #FarmersProtest2024 #FarmerProtest,59
3216,Mohit Gahlot (ï,@_MohitGahlot_,2024-02-28T22:58:31.000Z,"We Sikhs respect every religion, those who posted wrong videos to spoil the character of Sikhs will not watch this video today. A Sikh never insults anyone's religion. Our opposition is to the Indian government, not to any religion. #FarmersProtest #FarmersProtest2024 #Punjab",814
3217,Mohit Gahlot (ï,@_MohitGahlot_,2024-02-21T09:18:58.000Z,Haryana police still fire tear gas shells to disperse agitating farmers at #Khanauri border in Sangrur district of Punjab. #FarmersProtest #FarmerProtest #FarmersProtest2024 #FarmersProtestInDelhi,67
3218,Dolby India,@DolbyIn,2024-02-28T22:58:31.000Z,"We Sikhs respect every religion, those who posted wrong videos to spoil the character of Sikhs will not watch this video today. A Sikh never insults anyone's religion. Our opposition is to the Indian government, not to any religion. #FarmersProtest #FarmersProtest2024 #Punjab",814
3219,Dhillon,@Davinder_777,2024-02-21T08:34:25.000Z,RIP democracy in india #FarmerProtest #FarmersProtest #FarmersProtest2024 #FarmerProtest2024 #FarmerProtestInDelhi,2.2K
3220,Commie,@Pumpernickel500,2024-02-20T10:20:35.000Z,Reach an international audience through our open access publication model. We have calls for papers in your subject area.,67
3221,Porus,@porusofpanjab,2024-02-23T12:53:04.000Z,Lathicharge on peaceful farmers panchaayat in Hisar's Khedi Chopat. @police_haryana also fired tear gas shells and detained many farmers. Farm leader Suresh koth taken away by police. Remain unclear if he was arrested or detained. Dictatorship in Haryana #FarmersProtest2024,159
3222,James Kanter,@jameskanter,2024-02-28T12:37:50.000Z,"HPV ke khilaf, hum sab ek saath hokar suraksha ki taraf ek kadam badhaye.",17K
3223,Saibpal Pandit,@PanditSaibpal,2024-02-22T16:33:33.000Z,boAt Stone 1200 14W Bluetooth Speaker Deal price: Rs 3499 MRP: Rs 6990 Buy from here: https://amzn.to/49K83IA?twclid=25wgadrkpnys301m3xqf7ael8f #Ad,42
3224,Offers & Deals By India Desire,@IndiaDesire,2024-02-23T23:34:20.000Z,Kindly share #FarmersProtest2024,8
