no,username,handle,tweet_text
50,M.L.Ali,@liaqat0707,#Breaking Punjab & Haryana HC ordered judicial probe on death of protester. A committee consisting of a retired HC judge to be assisted by two officers of ADGP Rank from Punjab & Haryana will enquire the matter. #FarmersProtest2024
51,SSH,@JJ_JK_SSH,"Bhog of Shaheed Shubkaran Singh at his village Bhalo, Bathinda. WaheGuru Parivar nu Bhana Manan da Bal Bakshe. S Shubhkaran will live in our hearts forever and we will continue his battle for farmers community until farmers get their rightful dues. #FarmersProtest2024"
52,Samita Kaur,@samitakaur74,At least let them be of some help to the farmers. Kuch tho kaam aye.. #FarmersProtest2024 #FarmersProtest
53,UTI Mutual Fund,@utimutualfund,"My Interview Yesterday with (FARM ATTACK) victims Mrs ""Sisi Ntombela"" and Mr ""Mandala Ntombela"" It's worth a listen #NoFarmerNoFood #FarmersProtest2024 #FarmersProtest"
54,Goat Funded Trader,@GoatFunded,Look at what the Shankaracharya Ji has to say in support of the Farmers Protest 2024. #FarmersProtest2024 #KisaanNyayGuarantee #IWCWithRahulGandhi
55,SP,@SPSSM,"Seems like judge Saab of PB-HR HC hearing the case might have been offered Rajye Sabha seat by Modi Govt just like the judge of Bengal, that is why he is giving such absurd statements. Judge or BJP agent sitting as Judge. Sold out Judiciary. #FarmersProtest2024"
56,Mohit Gahlot (ï¿,@_MohitGahlot_,"Remember the similar video circulated during #NupurSharma incident This isn't #FarmersProtest2024 anymore but conglomeration of anti-India elements who are openly issuing threats to PM Modi. Alleged Anndattas are hanging the effigy of PM Modi, Hry CM symbolically giving hints"
57,unknown_1497,@Bckbncher,"We Sikhs respect every religion, those who posted wrong videos to spoil the character of Sikhs will not watch this video today. A Sikh never insults anyone's religion. Our opposition is to the Indian government, not to any religion. #FarmersProtest #FarmersProtest2024 #Punjab"
58,Kawal Kang,@Kawal46ae,Please see the documentary below. Scary stuff. Seems the only population that needs to be controlled is Bill and Melinda Gates. In the 90s he seemed pretty off. And here in 2024 hes literally running the world. #FarmersProtest2024 all over the world is to wa
59,Zaira Mirza,@ZairaMirza1,"This is for those shameless #Farmers leaders & opportunistic politicians who are falsely propagating ""What is GoI doing for the Farmers""? Real Farmers are well aware about the ground reality & the backing of GoI, but farmers turned politicians won't. #FarmersProtest2024"
60,unknown_1510,@DanielMiessler,Some Creatures are only seen during Elections #FarmersProtest2024 #_ï¿
61,unknown_1511,@Bckbncher,Gentle reminder!! Farmers are still protesting for MSP. Manipur is still burning. Sanghis are still vandalising While PM dived in the ocean searching lost democracy. He can be spotted dancing in Ambani wedding because they need more drama.
62,BrillianceSecMag,@BscSteve,The Punjab Haryana High Court has called the Haryana government wrong Instead of treating the farmers badly. Now Gobar bhkt will call the High Court Khalistani #FarmersProtest #FarmersProtest2024
63,Santosh Rathord ï,@santosh31537688,"Women brigade all set to celebrate International Womens Day tomorrow at Shambu & Khanauri border - March 8, 2024. They have appealed women from every nook & corner to reach the borders to support farmers. #farmer"
64,`Darveysh' M,@DurveyshM,"...and this man is a terrorist, lest we forget.......yes he is! Look it up!!! #FarmersProtest2024"
65,Peter Nooteboom,@Peter_Nooteboom,Learn how today's top startups use data to to build successful products
